,Constituency,Const. No.,Leading Candidate,Leading Party,Won,Trailing Candidate,Trailing Party,Margin
0,Alappuzha,15,K. C VENUGOPAL,Indian National Congress,14,A. M ARIFF,Communist Party of India  (Marxist),63513
1,Alathur ,9,K.RADHAKRISHNAN,Communist Party of India  (Marxist),1,RAMYA HARIDAS,Indian National Congress,20111
2,Attingal,19,ADV ADOOR PRAKASH,Indian National Congress,14,V JOY,Communist Party of India  (Marxist),684
3,Chalakudy,11,BENNY BEHANAN,Indian National Congress,14,PROF C RAVEENDRANATH,Communist Party of India  (Marxist),63754
4,Ernakulam,12,HIBI EDEN,Indian National Congress,14,K. J. SHINE TEACHER,Communist Party of India  (Marxist),250385
5,Idukki,13,ADV. DEAN KURIAKOSE,Indian National Congress,14,ADV. JOICE GEORGE,Communist Party of India  (Marxist),133727
6,Kannur,2,K. SUDHAKARAN,Indian National Congress,14,M.V. JAYARAJAN,Communist Party of India  (Marxist),108982
7,Kasaragod,1,RAJMOHAN UNNITHAN,Indian National Congress,14,M.V BALAKRISHNAN MASTER,Communist Party of India  (Marxist),100649
8,Kollam,18,N K PREMACHANDRAN,Revolutionary Socialist Party,1,M MUKESH,Communist Party of India  (Marxist),150302
9,Kottayam,14,ADV K FRANCIS GEORGE,Kerala Congress,1,THOMAS CHAZHIKADAN,Kerala Congress  (M),87266
10,Kozhikode,5,M. K. RAGHAVAN,Indian National Congress,14,ELAMARAM KAREEM,Communist Party of India  (Marxist),146176
11,Malappuram,6,E.T.  MOHAMMED BASHEER,Indian Union Muslim League,2,V. VASEEF,Communist Party of India  (Marxist),300118
12,Mavelikkara ,16,KODIKUNNIL SURESH,Indian National Congress,14,ADV ARUN KUMAR C A,Communist Party of India,10868
13,Palakkad,8,V K SREEKANDAN,Indian National Congress,14,A VIJAYARAGHAVAN,Communist Party of India  (Marxist),75283
14,Pathanamthitta,17,ANTO ANTONY,Indian National Congress,14,DR.T.M.THOMAS ISSAC,Communist Party of India  (Marxist),66119
15,Ponnani,7,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,2,K.S HAMZA,Communist Party of India  (Marxist),235760
16,Thiruvananthapuram,20,SHASHI THAROOR,Indian National Congress,14,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,16077
17,Thrissur,10,SURESH GOPI,Bharatiya Janata Party,1,ADV V S SUNILKUMAR,Communist Party of India,74686
18,Vadakara,3,SHAFI PARAMBIL,Indian National Congress,14,K K SHAILAJA TEACHER,Communist Party of India  (Marxist),114506
19,Wayanad,4,RAHUL GANDHI,Indian National Congress,14,ANNIE RAJA,Communist Party of India,364422
