,Constituency,Const. No.,Leading Candidate,Leading Party,Won,Trailing Candidate,Trailing Party,Margin
0,ARAKKONAM,7,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,22,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,306559
1,ARANI,12,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,22,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,208766
2,CHENNAI CENTRAL,4,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,22,VINOJ,Bharatiya Janata Party,244689
3,CHENNAI NORTH,2,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,22,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,339222
4,CHENNAI SOUTH,3,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,22,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,225945
5,CHIDAMBARAM,27,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,2,CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,103554
6,COIMBATORE,20,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,22,ANNAMALAI K,Bharatiya Janata Party,118068
7,CUDDALORE,26,M.K. VISHNUPRASAD,Indian National Congress,9,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam,185896
8,DHARMAPURI,10,MANI. A.,Dravida Munnetra Kazhagam,22,SOWMIYA ANBUMANI,Pattali Makkal Katchi,21300
9,DINDIGUL,22,SACHITHANANTHAM R,Communist Party of India  (Marxist),2,MOHAMED MUBARAK M A,All India Anna Dravida Munnetra Kazhagam,443821
10,ERODE,17,K E PRAKASH,Dravida Munnetra Kazhagam,22,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,236566
11,KALLAKURICHI,14,MALAIYARASAN D,Dravida Munnetra Kazhagam,22,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,53784
12,KANCHEEPURAM,6,SELVAM. G,Dravida Munnetra Kazhagam,22,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,221473
13,KANNIYAKUMARI,39,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,9,RADHAKRISHNAN P,Bharatiya Janata Party,179907
14,KARUR,23,JOTHIMANI. S,Indian National Congress,9,THANGAVEL. L,All India Anna Dravida Munnetra Kazhagam,166816
15,KRISHNAGIRI,9,GOPINATH K,Indian National Congress,9,JAYAPRAKASH V,All India Anna Dravida Munnetra Kazhagam,192486
16,MADURAI,32,VENKATESAN S,Communist Party of India  (Marxist),2,RAAMA SREENIVASAN,Bharatiya Janata Party,209409
17,MAYILADUTHURAI,28,SUDHA R,Indian National Congress,9,BABU P,All India Anna Dravida Munnetra Kazhagam,271183
18,NAGAPATTINAM,29,SELVARAJ V,Communist Party of India,2,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,208957
19,NAMAKKAL,16,MATHESWARAN V S,Dravida Munnetra Kazhagam,22,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,29112
20,ARAKKONAM,7,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,22,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,306559
21,ARANI,12,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,22,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,208766
22,CHENNAI CENTRAL,4,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,22,VINOJ,Bharatiya Janata Party,244689
23,CHENNAI NORTH,2,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,22,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,339222
24,CHENNAI SOUTH,3,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,22,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,225945
25,CHIDAMBARAM,27,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,2,CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,103554
26,COIMBATORE,20,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,22,ANNAMALAI K,Bharatiya Janata Party,118068
27,CUDDALORE,26,M.K. VISHNUPRASAD,Indian National Congress,9,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam,185896
28,DHARMAPURI,10,MANI. A.,Dravida Munnetra Kazhagam,22,SOWMIYA ANBUMANI,Pattali Makkal Katchi,21300
29,DINDIGUL,22,SACHITHANANTHAM R,Communist Party of India  (Marxist),2,MOHAMED MUBARAK M A,All India Anna Dravida Munnetra Kazhagam,443821
30,ERODE,17,K E PRAKASH,Dravida Munnetra Kazhagam,22,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,236566
31,KALLAKURICHI,14,MALAIYARASAN D,Dravida Munnetra Kazhagam,22,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,53784
32,KANCHEEPURAM,6,SELVAM. G,Dravida Munnetra Kazhagam,22,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,221473
33,KANNIYAKUMARI,39,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,9,RADHAKRISHNAN P,Bharatiya Janata Party,179907
34,KARUR,23,JOTHIMANI. S,Indian National Congress,9,THANGAVEL. L,All India Anna Dravida Munnetra Kazhagam,166816
35,KRISHNAGIRI,9,GOPINATH K,Indian National Congress,9,JAYAPRAKASH V,All India Anna Dravida Munnetra Kazhagam,192486
36,MADURAI,32,VENKATESAN S,Communist Party of India  (Marxist),2,RAAMA SREENIVASAN,Bharatiya Janata Party,209409
37,MAYILADUTHURAI,28,SUDHA R,Indian National Congress,9,BABU P,All India Anna Dravida Munnetra Kazhagam,271183
38,NAGAPATTINAM,29,SELVARAJ V,Communist Party of India,2,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,208957
39,NAMAKKAL,16,MATHESWARAN V S,Dravida Munnetra Kazhagam,22,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,29112
40,ARAKKONAM,7,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,22,L VIJAYAN,All India Anna Dravida Munnetra Kazhagam,306559
41,ARANI,12,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,22,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,208766
42,CHENNAI CENTRAL,4,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,22,VINOJ,Bharatiya Janata Party,244689
43,CHENNAI NORTH,2,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,22,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,339222
44,CHENNAI SOUTH,3,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,22,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,225945
