,S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
0,1,CHENNAI NORTH(2),DR.KALANIDHI VEERASWAMY,497333,339222
1,2,CHENNAI SOUTH(3),T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,516628,225945
2,3,CHENNAI CENTRAL(4),DAYANIDHI MARAN,413848,244689
3,4,SRIPERUMBUDUR(5),T R BAALU,758611,487029
4,5,KANCHEEPURAM(6),SELVAM. G,586044,221473
5,6,ARAKKONAM(7),S JAGATHRATCHAKAN,563216,306559
6,7,VELLORE(8),DM KATHIR ANAND,568692,215702
7,8,DHARMAPURI(10),MANI. A.,432667,21300
8,9,TIRUVANNAMALAI(11),"ANNADURAI, C.N.",547379,233931
9,10,ARANI(12),THARANIVENTHAN M S,500099,208766
10,11,KALLAKURICHI(14),MALAIYARASAN D,561589,53784
11,12,SALEM(15),SELVAGANAPATHI T M,566085,70357
12,13,NAMAKKAL(16),MATHESWARAN V S,462036,29112
13,14,ERODE(17),K E PRAKASH,562339,236566
14,15,NILGIRIS(19),RAJA A,473212,240585
15,16,COIMBATORE(20),GANAPATHY RAJKUMAR P,568200,118068
16,17,POLLACHI(21),ESWARASAMY K,533377,252042
17,18,PERAMBALUR(25),ARUN NEHRU,603209,389107
18,19,THANJAVUR(30),MURASOLI S,502245,319583
19,20,THENI(33),THANGA TAMILSELVAN,571493,278825
20,21,THOOTHUKKUDI(36),KANIMOZHI KARUNANIDHI,540729,392738
21,22,TENKASI(37),DR RANI SRI KUMAR,425679,196199
