,Sl.No,State,PC Name,Count of Elector,Poll(%),Count of Votes
0,1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,315148,64.1,202018
1,2,Arunachal Pradesh,Arunachal East,375310,83.31,312658
2,3,Arunachal Pradesh,Arunachal West,517384,73.6,380783
3,4,Assam,Dibrugarh,1659588,76.75,1273744
4,5,Assam,Jorhat,1727121,79.89,1379749
5,6,Assam,Kaziranga,2050126,79.33,1626408
6,7,Assam,Lakhimpur,1577234,76.42,1205331
7,8,Assam,Sonitpur,1633800,78.46,1281959
8,9,Bihar,Aurangabad,1871564,50.35,942382
9,10,Bihar,Gaya,1816815,52.76,958623
10,11,Bihar,Jamui,1907126,51.25,977369
11,12,Bihar,Nawada,2006124,43.17,866102
12,13,Chhattisgarh,BASTAR,1472207,68.29,1005392
13,14,Jammu and Kashmir,UDHAMPUR,1623195,68.27,1108206
14,15,Lakshadweep,Lakshadweep,57784,84.16,48630
15,16,Madhya Pradesh,BALAGHAT,1873653,73.45,1376207
16,17,Madhya Pradesh,CHHINDWARA,1632190,79.83,1303001
17,18,Madhya Pradesh,JABALPUR,1896346,61,1156722
18,19,Madhya Pradesh,MANDLA,2101811,72.84,1530861
19,20,Madhya Pradesh,SHAHDOL,1777185,64.68,1149506
20,21,Madhya Pradesh,SIDHI,2028451,56.5,1146150
21,22,Maharashtra,BhandaraGondiya,1827188,67.04,1224928
22,23,Maharashtra,Chandrapur,1837906,67.55,1241574
23,24,Maharashtra,Gadchiroli - Chimur,1617207,71.88,1162476
24,25,Maharashtra,Nagpur,2223281,54.32,1207738
25,26,Maharashtra,Ramtek,2049085,61.01,1250190
26,27,Manipur,Inner Manipur,991574,80.15,794790
27,28,Manipur,Outer Manipur,553078,68.83,380688
28,29,Meghalaya,Shillong,1400411,73.78,1033251
29,30,Meghalaya,Tura,826156,81.37,672284
30,31,Mizoram,MIZORAM,856364,56.87,487013
31,32,Nagaland,Nagaland,1317536,57.72,760507
32,33,Puducherry,PUDUCHERRY,1023699,78.9,807724
33,34,Rajasthan,ALWAR,2059888,60.07,1237446
34,35,Rajasthan,BHARATPUR ,2114916,52.8,1116742
35,36,Rajasthan,BIKANER ,2048399,54.11,1108418
36,37,Rajasthan,CHURU,2213187,63.61,1407716
37,38,Rajasthan,DAUSA ,1899304,55.72,1058386
38,39,Rajasthan,GANGANAGAR ,2102002,66.59,1399688
39,40,Rajasthan,JAIPUR,2287350,63.38,1449612
40,41,Rajasthan,JAIPUR RURAL,2184978,56.7,1238818
41,42,Rajasthan,JHUNJHUNU     ,2068540,52.93,1094900
42,43,Rajasthan,KARAULI-DHOLPUR ,1975352,49.59,979618
43,44,Rajasthan,NAGAUR,2146725,57.23,1228494
44,45,Rajasthan,SIKAR,2214900,57.53,1274270
45,46,Sikkim,Sikkim,464140,79.88,370765
46,47,Tamil Nadu,ARAKKONAM,1562871,74.19,1159441
47,48,Tamil Nadu,ARANI,1496118,75.76,1133520
48,49,Tamil Nadu,CHENNAI CENTRAL,1350161,53.96,728614
49,50,Tamil Nadu,CHENNAI NORTH,1496224,60.11,899367
50,51,Tamil Nadu,CHENNAI SOUTH,2023133,54.17,1096026
51,52,Tamil Nadu,CHIDAMBARAM,1519847,76.37,1160762
52,53,Tamil Nadu,COIMBATORE,2106124,64.89,1366597
53,54,Tamil Nadu,CUDDALORE,1412746,72.57,1025298
54,55,Tamil Nadu,DHARMAPURI,1524896,81.2,1238184
55,56,Tamil Nadu,DINDIGUL,1607051,71.14,1143196
56,57,Tamil Nadu,ERODE,1538778,70.59,1086287
57,58,Tamil Nadu,KALLAKURICHI,1568681,79.21,1242597
58,59,Tamil Nadu,KANCHEEPURAM,1748866,71.68,1253582
59,60,Tamil Nadu,KANNIYAKUMARI,1557915,65.44,1019532
60,61,Tamil Nadu,KARUR,1429790,78.7,1125241
61,62,Tamil Nadu,KRISHNAGIRI,1623179,71.5,1160498
62,63,Tamil Nadu,MADURAI,1582271,62.04,981650
63,64,Tamil Nadu,MAYILADUTHURAI,1545568,70.09,1083243
